lead_id,date,channel,device,cost,impressions,clicks,conversions,company_size,sector,region,status
101,2025-09-21,Facebook Ads,Mobile,6314.82,174960,4957,446,10-50,Tech,CVL,SQL
102,2025-09-04,Instagram Ads,Mobile,4473.3,155125,6156,492,1-10,Tech,IdF,Lead
103,2025-09-01,LinkedIn,Desktop,5922.39,64292,1661,113,1-10,Finance,PAC,SQL
104,2025-09-24,LinkedIn,Mobile,6300.46,58061,1417,97,10-50,Tech,HDF,SQL
105,2025-09-09,Emailing,Desktop,2138.67,71309,2473,221,10-50,Logistics,BFC,MQL
106,2025-09-08,Emailing,Mobile,2512.92,92180,3042,276,100-500,Retail,PAC,MQL
107,2025-09-08,Emailing,Desktop,2512.92,92180,3042,276,1-10,Finance,BFC,MQL
108,2025-09-05,Instagram Ads,Desktop,4731.53,166863,6757,548,10-50,Tech,NOR,Client
109,2025-09-24,LinkedIn,Mobile,6300.46,58061,1417,97,50-100,Finance,ARA,MQL
110,2025-09-04,LinkedIn,Mobile,6239.3,64902,1634,101,50-100,Retail,HDF,Lead
111,2025-09-22,Emailing,Mobile,2529.5,81767,2693,240,100-500,Tech,IDF,MQL
112,2025-09-24,Instagram Ads,Desktop,3281.01,114397,4390,351,50-100,Retail,CVL,SQL
113,2025-09-29,Instagram Ads,Mobile,3704.71,136791,5539,464,100-500,Retail,ARA,SQL
114,2025-09-18,Emailing,Desktop,2479.5099999999998,89774,3044,271,1-10,Logistics,IdF,Client
115,2025-09-03,Emailing,Mobile,2290.03,77558,2533,205,10-50,Tech,PAC,Client
116,2025-09-19,Emailing,Mobile,2789.03,95436,2997,260,1-10,Finance,ARA,Lead
117,2025-09-14,Facebook Ads,Mobile,6017.18,166025,4922,435,1-10,Logistics,HDF,MQL
118,2025-09-02,Facebook Ads,Mobile,5832.7,168108,4703,390,1-10,Education,PAC,SQL
119,2025-09-01,Facebook Ads,Desktop,5612.5,161363,4593,400,1-10,Logistics,IDF,Client
120,2025-09-03,Emailing,Desktop,2290.03,77558,2533,205,1-10,Logistics,Hauts-de-France,MQL
121,2025-09-07,LinkedIn,Desktop,5411.53,55820,1393,100,1-10,Finance,CVL,MQL
122,2025-09-08,Emailing,Mobile,2512.92,92180,3042,276,1-10,Health,PAC,Client
123,2025-09-17,Emailing,Tablet,2929.4,94268,3174,245,100-500,Tech,PAC,MQL
124,2025-09-20,Facebook Ads,Desktop,6435.08,186202,5287,413,1-10,Finance,HDF,MQL
125,2025-09-01,Facebook Ads,Tablet,5612.5,161363,4593,400,50-100,Media,Hauts-de-France,Client
126,2025-09-18,LinkedIn,Mobile,5111.0,48459,1196,87,1-10,Finance,IdF,SQL
127,2025-09-07,Emailing,Mobile,2949.19,102515,3463,294,100-500,Education,ARA,Lead
128,2025-09-23,Facebook Ads,Mobile,5198.26,145801,4039,332,100-500,Education,ARA,MQL
129,2025-09-21,LinkedIn,Desktop,4666.97,47645,1205,90,50-100,Retail,HDF,MQL
130,2025-09-23,Emailing,Mobile,2377.44,72741,2372,204,50-100,Media,IDF,Client
131,2025-09-18,LinkedIn,Mobile,5111.0,48459,1196,87,1-10,Finance,IdF,Client
132,2025-09-14,Emailing,Mobile,3045.63,103241,3613,316,100-500,Tech,BFC,SQL
133,2025-09-08,Emailing,Desktop,2512.92,92180,3042,276,100-500,Media,BFC,MQL
134,2025-09-15,Instagram Ads,Desktop,3510.33,124309,4770,395,100-500,Finance,IDF,Lead
135,2025-09-19,Instagram Ads,Mobile,3755.12,134079,5151,414,50-100,Education,OCC,SQL
136,2025-09-09,Instagram Ads,Mobile,4345.78,157172,6465,526,1-10,Finance,CVL,MQL
137,2025-09-26,Facebook Ads,Desktop,5251.55,163827,4769,378,100-500,Retail,ARA,SQL
138,2025-09-28,Emailing,Tablet,2353.42,79194,2848,248,1-10,Media,IdF,SQL
139,2025-09-01,LinkedIn,Desktop,5922.39,64292,1661,113,10-50,Health,PAC,MQL
140,2025-09-25,Facebook Ads,Tablet,5675.56,163585,4566,391,1-10,Retail,ARA,Client
141,2025-09-26,Emailing,Desktop,2556.08,85736,2858,237,100-500,Tech,CVL,Lead
142,2025-09-06,Facebook Ads,Desktop,5898.94,168671,4842,376,1-10,Energy,BFC,SQL
143,2025-09-23,Emailing,Mobile,2377.44,72741,2372,204,1-10,Tech,CVL,MQL
144,2025-09-14,Instagram Ads,Desktop,2938.88,101513,3837,327,10-50,Media,PAC,SQL
145,2025-09-11,Emailing,Desktop,2675.57,84413,2889,249,50-100,Retail,CVL,SQL
146,2025-09-09,LinkedIn,Desktop,6807.41,73952,1809,120,10-50,Health,IdF,Lead
147,2025-09-05,Facebook Ads,Mobile,4311.2,125213,3648,306,1-10,Energy,IdF,Lead
148,2025-09-07,Facebook Ads,Mobile,3684.27,117690,3375,273,1-10,Tech,IdF,Lead
149,2025-09-25,Facebook Ads,Mobile,5675.56,163585,4566,391,50-100,Health,NOR,Lead
150,2025-09-11,Emailing,Mobile,2675.57,84413,2889,249,100-500,Education,IdF,SQL
151,2025-09-04,Instagram Ads,Mobile,4473.3,155125,6156,492,50-100,Education,HDF,Lead
152,2025-09-03,LinkedIn,Desktop,7147.05,73930,1844,132,10-50,Finance,IdF,MQL
153,2025-09-13,Instagram Ads,Mobile,3626.02,127090,4877,379,100-500,Health,PAC,Lead
154,2025-09-04,Instagram Ads,Mobile,4473.3,155125,6156,492,10-50,Education,OCC,MQL
155,2025-09-12,LinkedIn,Mobile,5440.85,54337,1371,96,10-50,Media,ARA,SQL
156,2025-09-28,Instagram Ads,Desktop,4134.08,139525,5414,420,10-50,Education,IdF,MQL
157,2025-09-12,Emailing,Mobile,2940.96,89780,3029,258,10-50,Retail,Hauts-de-France,SQL
158,2025-09-20,Emailing,Mobile,2292.52,80818,2572,226,50-100,Logistics,OCC,SQL
159,2025-09-09,Emailing,Desktop,2138.67,71309,2473,221,10-50,Finance,PAC,Lead
160,2025-09-26,Facebook Ads,Mobile,5251.55,163827,4769,378,1-10,Tech,ARA,SQL
161,2025-09-02,Facebook Ads,Tablet,5832.7,168108,4703,390,1-10,Retail,PAC,MQL
162,2025-09-24,Emailing,Tablet,2777.7,92732,3036,273,1-10,Tech,PAC,Lead
